"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","69","Verify that the ACCESSORIES menu contains at least one subcategory","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.NavigationTest","Surefire test","prestashop.tests.functional.mainPage.NavigationTest","shouldDisplaySubMenuUnderAccessories"
"","80","Verify that the language selector dropdown is visible and contains at least one language","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.NavigationTest","Surefire test","prestashop.tests.functional.mainPage.NavigationTest","shouldDisplayLanguagesDropdownAndNotBeEmpty"
"","3151","Sorting: Name Z → A","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.allProductsPage.SortingTest","Surefire test","prestashop.tests.functional.allProductsPage.SortingTest","shouldSortProductsCorrectly"
"","23","Verify that the Subscribe button text is visually displayed in uppercase using CSS text-transform","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.footer.SubscribeTest","Surefire test","prestashop.tests.functional.footer.SubscribeTest","shouldDisplaySubscribeButtonTextInUppercase"
"","96","Verify that the CLOTHES menu contains at least one subcategory","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.NavigationTest","Surefire test","prestashop.tests.functional.mainPage.NavigationTest","shouldDisplaySubMenuUnderClothes"
"","3070","Sorting: Name A → Z","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.allProductsPage.SortingTest","Surefire test","prestashop.tests.functional.allProductsPage.SortingTest","shouldSortProductsCorrectly"
"","62","Verify that the ART menu does not contain any subcategories","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.NavigationTest","Surefire test","prestashop.tests.functional.mainPage.NavigationTest","shouldNotDisplaySubMenuUnderArt"
"","3062","Sorting: Price high → low","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.allProductsPage.SortingTest","Surefire test","prestashop.tests.functional.allProductsPage.SortingTest","shouldSortProductsCorrectly"
"","135","Verify that each popular product on the main page has a displayed name and a valid price","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.mainPage.PopularProductsTest","Surefire test","prestashop.tests.functional.mainPage.PopularProductsTest","shouldDisplayNameAndPriceForEachPopularProduct"
"","2847","Sorting: Price low → high","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.allProductsPage.SortingTest","Surefire test","prestashop.tests.functional.allProductsPage.SortingTest","shouldSortProductsCorrectly"
"","8","Verify that the newsletter label text matches the expected value","Surefire suite","2025-12-24","passed","2025-12-24","prestashop.tests.functional.footer.SubscribeTest","Surefire test","prestashop.tests.functional.footer.SubscribeTest","shouldDisplayCorrectNewsletterLabelText"
